Last Name,First Name,Username,Student ID,Last Access,Availability,Weighted Total [Total Pts: up to 0 Percentage] |26967,Total [Total Pts: up to 470 Percentage] |26968,Attendance [Total Pts: 0 Percentage] |26969,Safety Contract [Total Pts: 0 Score] |38371,L1 - Worksheet [Total Pts: 30 Score] |38372,L2 - PreLab [Total Pts: 10 Score] |38373,L2 - Worksheet [Total Pts: 20 Score] |38420,L3 - PreLab [Total Pts: 10 Score] |38421,L3 - Worksheet [Total Pts: 20 Score] |38422,L4 - PreLab [Total Pts: 10 Score] |38423,L4 - Notebook [Total Pts: 10 Score] |38424,L4 - PostLab [Total Pts: 10 Score] |38425,L5 - PreLab [Total Pts: 10 Score] |38426,L5 - Notebook [Total Pts: 10 Score] |38427,L5 - PostLab [Total Pts: 10 Score] |38428,L7 - PreLab [Total Pts: 10 Score] |38431,L7 - Notebook [Total Pts: 30 Score] |38432,L7 - PostLab [Total Pts: 10 Score] |38434,L8 - PreLab [Total Pts: 10 Score] |38435,L8 - Notebook [Total Pts: 30 Score] |38437,L8 - PostLab [Total Pts: 10 Score] |38438,L8 - Presentations [Total Pts: 50 Score] |44239,L9 - PreLab [Total Pts: 10 Score] |38439,L9 - Notebook [Total Pts: 30 Score] |38441,L9 - PostLab [Total Pts: 10 Score] |38442,L10 - PreLab [Total Pts: 10 Score] |38444,L10 - Worksheet [Total Pts: 50 Score] |38445,L10 - PostLab [Total Pts: 10 Score] |38446,L9 - Final Report [Total Pts: 100 Score] |44602,Lab 9 Extra Credit [Total Pts: 0 Score] |46213
Hark,Captain,chark,40001,2020-11-30 15:39:48,Yes,,94.77777,,1,30,10,20,10,20,9,10,6,9,10,3,8.5,30,10,10,30,6,50,10,30,7,,50,,98,0
Kast,Rook,rkast,40002,2020-12-02 3:11:11,Yes,,85.66666,,1,30,7,20,9,14,10,4.5,7,3,10,4,7,30,9,9,30,6,42.5,9,26.5,9,,50,,79,10
Onyo,Ketsu,konyo,40003,2020-12-03 19:47:19,Yes,,90.44444,,1,30,10,20,9,20,9,9,8,10,9,8,10,30,10,9,27,9,43,10,30,10,,50,,77,0
Rau,Fenn,frau,40004,2020-11-20 21:06:05,Yes,,92.44444,,1,30,10,20,9,18,8,6.5,9,4,10,8,8.5,30,10,9,30,9,50,9,28,7,,50,,88,5
Fett,Boba,bfett,40005,2020-11-19 14:37:33,Yes,,25.71428,,,30,10,20,8,0,0,0,0,,,,,,,,,,,,,,,,,,
Fett,Jango,jfett,40006,2020-11-23 15:08:10,Yes,,92.66666,,1,30,9,20,10,18,8,9.5,10,7,10,5,8,30,10,9,30,9,50,10,28.5,7,,50,,89,0
Kryze,Bo-Katan,bkryze,40007,2020-11-20 11:17:06,Yes,,38.11111,,1,30,10,20,0,0,9,6.5,9,10,0,0,0,30,10,10,29,0,48,0,0,0,,0,,0,0
Kryze,Satine,skryze,40008,2020-11-25 18:37:49,Yes,,68.45238,,1,30,6,20,9,15,9,10,8,4,10,8,0,30,0,5,Needs Grading,0,48,7,25.5,8,,0,,85,0
Saxon,Gar,gsaxon,40009,2020-12-03 13:32:19,Yes,,93.55555,,1,30,10,20,10,20,9,10,9,4,10,7,8,30,10,9,30,6,49,9,28.5,9,,50,,93.5,0
Saxon,Tiber,tsaxon,40010,2020-10-22 23:28:30,Yes,,13.77777,,1,30,9,20,10,18,7,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0
Vizsla,Paz,pavizsla,40011,2020-12-03 23:37:55,Yes,,99.44444,,1,30,10,20,10,20,10,10,10,9,10,10,9,30,10,9,30,9,50,10,30,10,,50,,91.5,10
Vizsla,Pre,prvizsla,40012,2020-11-26 13:36:48,Yes,,70,,1,30,9,20,10,18,8,7,0,0,10,0,9.5,30,9.5,10,Needs Grading,10,44,9,26.5,9,,0,,74.5,0
Wren,Alrich,awren,40013,2020-11-20 15:56:05,Yes,,91.22222,,1,30,7,20,10,16,9,9,10,10,10,8,7,30,9,9,29,8,47,8,28.5,10,,50,,86,0
Wren,Sabine,swren,40014,2020-12-01 22:18:11,Yes,,89.44444,,1,30,9,20,10,17,8,10,10,9,10,8,10,30,10,10,29,10,47,10,0,10,,50,,90.5,5
