Last Name,First Name,Username,Student ID,Last Access,Availability,Weighted Total [Total Pts: up to 0 Percentage] |31815,Total [Total Pts: up to 470 Percentage] |31816,Attendance [Total Pts: 0 Percentage] |31817,Safety Contract [Total Pts: 0 Score] |38311,L1 - Worksheet [Total Pts: 30 Score] |38312,L2 - PreLab [Total Pts: 10 Score] |38313,L2 - Worksheet [Total Pts: 20 Score] |38448,L3 - PreLab [Total Pts: 10 Score] |38449,L3 - Worksheet [Total Pts: 20 Score] |38450,L4 - PreLab [Total Pts: 10 Score] |38451,L4 - Notebook [Total Pts: 10 Score] |38452,L4 - PostLab [Total Pts: 10 Score] |38453,L5 - PreLab [Total Pts: 10 Score] |38454,L5 - Notebook [Total Pts: 10 Score] |38455,L5 - PostLab [Total Pts: 10 Score] |38456,L7 - PreLab [Total Pts: 10 Score] |38460,L7 - Notebook [Total Pts: 30 Score] |38461,L7 - PostLab [Total Pts: 10 Score] |38463,L8 - PreLab [Total Pts: 10 Score] |38464,L8 - Notebook [Total Pts: 30 Score] |38465,L8 - PostLab [Total Pts: 10 Score] |38467,L8 - Presentations [Total Pts: 50 Score] |41179,L9 - PreLab [Total Pts: 10 Score] |38468,L9 - Notebook [Total Pts: 30 Score] |38469,L9 - PostLab [Total Pts: 10 Score] |38471,L10 - PreLab [Total Pts: 10 Score] |38472,L10 - Worksheet [Total Pts: 50 Score] |38473,L10 - PostLab [Total Pts: 10 Score] |38474,L9 - Final Report [Total Pts: 100 Score] |44603,Lab9 Extra Credit [Total Pts: 0 Score] |46214
Wren,Tristan,twren,50001,2020-11-23 15:08:10,Yes,,90.11111,,1,30,8,20,7,13,8,7,10,7,10,7,8,30,9,5,30,9,49,10,28.5,9,,50,,91,0
Wren,Ursa,uwren,50002,2020-11-30 21:39:11,Yes,,96.33333,,1,30,7,20,8,17,7,8,9,10,10,10,10,30,10,10,30,10,42,9,30,9,,50,,97.5,10
Argyus,Faro,fargyus,50003,2020-11-20 12:47:04,Yes,,96.88888,,1,30,8,20,9,15,10,9.5,10,9,10,10,9,30,9,9,30,9,50,10,28.5,7,,50,,99,5
Bonteri,Lux,lbontari,50004,2020-11-02 13:29:31,Yes,,23.33333,,1,30,7,20,8,14,8,0,5,0,9,9,8,30,7,0,0,0,0,0,0,0,,0,,0,0
Colton,Captain,ccolton,50005,2020-12-03 18:42:19,Yes,,97.33333,,1,30,10,20,9,18,9,10,9,10,10,8,9,30,10,6,30,7,48,9,30,8,,50,,98,10
Divo,Tan,tdivo,50006,2020-10-30 13:51:31,Yes,,2.88888,,1,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,,0,0
Valorum,Finis,fvalorum,50007,2020-11-23 22:11:41,Yes,,87.55555,,1,30,9,20,9,6,7,8,9,6,10,8,8,30,6,9,27,8,46,8,30,10,,50,,90,0
Bacara,Commander,cbacara,50008,2020-11-24 13:15:34,Yes,,24.44444,,1,30,10,20,9,20,6,9,0,0,10,0,0,0,0,0,0,0,46,0,0,0,,0,,0,0
Bly,Commander,cbly,50009,2020-11-23 15:08:10,Yes,,59,,,30,10,20,9,16,9,10,8,0,0,0,9,30,0,0,27,0,42,8,21.5,6,,0,,60,0
Cody,Commander,ccody,50010,2020-11-18 16:02:56,Yes,,90,,1,30,7,20,7,18,8,7,7,7,10,8,9,30,9,8,30,6,47,8,28.5,7,,50,,93.5,0
Fil,Commander,cfil,50011,2020-11-30 15:02:48,Yes,,91.11111,,1,30,10,20,8,12,8,10,10,9,10,10,10,30,9,6,30,9,47,7,30,9,,50,,86,0
Fox,Commander,cfox,50012,2020-11-30 21:36:16,Yes,,92.11111,,1,30,10,20,9,17,9,6.5,10,10,10,8,8,30,10,9,27,9,42,9,30,9,,50,,87,5
